,cluster_label
0,10
1,11
2,10
3,16
4,16
5,11
6,11
7,6
8,8
9,11
10,11
11,6
12,8
13,17
14,3
15,6
16,16
17,17
18,8
19,8
20,8
21,16
22,17
23,17
24,17
25,6
26,11
27,8
28,11
29,17
30,16
31,8
32,10
33,11
34,8
35,11
36,6
37,6
38,8
39,10
40,11
41,8
42,8
43,11
44,16
45,16
46,8
47,17
48,6
49,11
50,8
51,17
52,16
53,6
54,16
55,11
56,17
57,16
58,8
59,16
60,16
61,6
62,8
63,11
64,6
65,16
66,16
67,16
68,8
69,16
70,11
71,16
72,17
73,10
74,16
75,10
76,10
77,8
78,17
79,8
80,10
81,10
82,6
83,8
84,6
85,16
86,10
87,6
88,16
89,11
90,11
91,17
92,8
93,10
94,6
95,16
96,8
97,11
98,8
99,11
100,11
101,16
102,17
103,11
104,6
105,10
106,11
107,8
108,11
109,17
110,11
111,10
112,6
113,11
114,17
115,6
116,11
117,11
118,16
119,6
120,16
121,6
122,6
123,11
124,17
125,10
126,10
127,16
128,8
129,8
130,8
131,17
132,6
133,16
134,11
135,17
136,11
137,16
138,10
139,11
140,10
141,6
142,16
143,8
144,6
145,11
146,4
147,4
148,17
149,17
150,17
151,16
152,6
153,11
154,11
155,8
156,17
157,17
158,11
159,11
160,16
161,4
162,16
163,6
164,11
165,11
166,6
167,8
168,8
169,6
170,4
171,16
172,17
173,11
174,17
175,8
176,16
177,11
178,8
179,6
180,17
181,17
182,11
183,8
184,4
185,6
186,4
187,6
188,17
189,17
190,11
191,17
192,8
193,17
194,17
195,11
196,17
197,11
198,4
199,6
200,17
201,17
202,17
203,17
204,11
205,17
206,6
207,11
208,17
209,4
210,17
211,11
212,6
213,4
214,17
215,6
216,6
217,16
218,17
219,11
220,8
221,17
222,16
223,8
224,4
225,11
226,8
227,4
228,11
229,16
230,11
231,11
232,11
233,16
234,17
235,11
236,11
237,8
238,17
239,11
240,16
241,11
242,8
243,16
244,16
245,11
246,11
247,17
248,11
249,17
250,8
251,8
252,17
253,11
254,11
255,11
256,17
257,11
258,11
259,17
260,4
261,17
262,11
263,17
264,17
265,17
266,4
267,11
268,11
269,17
270,11
271,17
272,4
273,8
274,11
275,17
276,17
277,11
278,17
279,17
280,11
281,17
282,17
283,11
284,11
285,11
286,11
287,11
288,11
289,17
290,4
291,11
292,11
293,11
294,17
295,4
296,11
297,11
298,11
299,17
300,11
301,17
302,17
303,11
304,8
305,11
306,11
307,17
308,17
309,11
310,11
311,17
312,11
313,11
314,11
315,11
316,8
317,11
318,17
319,11
320,11
321,17
322,11
323,17
324,17
325,17
326,11
327,14
328,11
329,17
330,17
331,11
332,17
333,4
334,6
335,17
336,17
337,17
338,17
339,11
340,17
341,17
342,11
343,17
344,11
345,6
346,17
347,16
348,17
349,4
350,11
351,17
352,11
353,8
354,17
355,17
356,8
357,11
358,11
359,11
360,11
361,16
362,17
363,17
364,17
365,11
366,17
367,14
368,8
369,11
370,17
371,17
372,11
373,11
374,4
375,8
376,17
377,11
378,11
379,4
380,17
381,17
382,11
383,6
384,17
385,17
386,17
387,16
388,17
389,11
390,11
391,8
392,17
393,16
394,11
395,11
396,11
397,4
398,17
399,17
400,17
401,17
402,8
403,6
404,11
405,11
406,11
407,11
408,11
409,8
410,11
411,17
412,11
413,17
414,11
415,4
416,8
417,17
418,16
419,17
420,17
421,17
422,11
423,17
424,17
425,11
426,11
427,17
428,17
429,16
430,16
431,11
432,8
433,17
434,17
435,4
436,11
437,11
438,8
439,11
440,17
441,16
442,17
443,17
444,17
445,17
446,17
447,17
448,11
449,17
450,17
451,17
452,6
453,17
454,4
455,17
456,8
457,11
458,11
459,8
460,10
461,17
462,11
463,17
464,16
465,17
466,17
467,11
468,17
469,17
470,11
471,17
472,17
473,4
474,8
475,8
476,11
477,4
478,17
479,17
480,11
481,11
482,16
483,17
484,8
485,17
486,17
487,11
488,17
489,17
490,17
491,16
492,11
493,17
494,4
495,17
496,11
497,17
498,17
499,17
500,17
501,17
502,17
503,17
504,17
505,17
506,11
507,11
508,6
509,11
510,17
511,8
512,17
513,11
514,4
515,17
516,17
517,17
518,17
519,17
520,17
521,17
522,8
523,4
524,17
525,17
526,11
527,17
528,17
529,17
530,11
531,17
532,8
533,17
534,17
535,17
536,10
537,17
538,11
539,17
540,8
541,11
542,17
543,11
544,17
545,6
546,17
547,17
548,17
549,17
550,17
551,17
552,11
553,17
554,17
555,8
556,16
557,17
558,6
559,17
560,17
561,11
562,17
563,17
564,17
565,17
566,17
567,11
568,17
569,4
570,17
571,17
572,4
573,17
574,17
575,17
576,17
577,11
578,8
579,4
580,17
581,17
582,11
583,11
584,8
585,11
586,4
587,11
588,11
589,17
590,4
591,6
592,11
593,11
594,17
595,17
596,11
597,17
598,4
599,17
600,17
601,17
602,17
603,17
604,17
605,17
606,11
607,16
608,11
609,6
610,17
611,17
612,11
613,11
614,17
615,17
616,16
617,11
618,11
619,11
620,11
621,8
622,16
623,11
624,8
625,11
626,11
627,17
628,17
629,4
630,17
631,11
632,4
633,11
634,11
635,8
636,11
637,11
638,11
639,11
640,11
641,16
642,8
643,17
644,11
645,17
646,16
647,8
648,17
649,11
650,4
651,17
652,6
653,11
654,11
655,11
656,17
657,11
658,4
659,11
660,17
661,17
662,17
663,4
664,4
665,11
666,17
667,11
668,11
669,8
670,4
671,8
672,4
673,4
674,17
675,8
676,4
677,4
678,11
679,4
680,8
681,11
682,11
683,11
684,4
685,17
686,11
687,11
688,17
689,17
690,11
691,11
692,4
693,16
694,8
695,17
696,17
697,11
698,17
699,11
700,11
701,4
702,4
703,17
704,8
705,4
706,4
707,17
708,11
709,11
710,11
711,17
712,17
713,17
714,11
715,16
716,17
717,11
718,6
719,8
720,8
721,17
722,11
723,4
724,10
725,11
726,17
727,11
728,17
729,6
730,17
731,17
732,11
733,17
734,8
735,17
736,17
737,17
738,17
739,17
740,4
741,17
742,17
743,16
744,6
745,17
746,11
747,11
748,16
749,17
750,17
751,11
752,11
753,16
754,17
755,11
756,16
757,17
758,4
759,8
760,17
761,17
762,17
763,17
764,11
765,17
766,17
767,4
768,4
769,8
770,16
771,4
772,16
